Mutant,WBGene00001387,WBGene00008538,WBGene00017133,WBGene00001685,WBGene00007691,WBGene00001684,WBGene00017864,WBGene00138721,WBGene00010985,WBGene00013481,WBGene00003124,WBGene00021219,WBGene00005647,WBGene00015067,WBGene00003702,WBGene00008739,WBGene00008816,WBGene00010539,WBGene00004932,WBGene00014254,WBGene00011979,WBGene00014213,WBGene00000013,WBGene00020566,WBGene00016046,WBGene00016849,WBGene00009340,WBGene00235133,WBGene00021079,WBGene00009835,WBGene00008334,WBGene00044212,WBGene00023417,WBGene00021107,WBGene00008010,WBGene00009572,WBGene00077636,WBGene00021671,WBGene00021106,WBGene00012898,WBGene00016551,WBGene00007454,WBGene00015642,WBGene00011009,WBGene00003680,WBGene00015573,WBGene00017126,WBGene00008681,WBGene00017082,WBGene00008296,WBGene00011305,WBGene00022076,WBGene00016097,WBGene00019113,WBGene00003722,WBGene00019968,WBGene00003528,WBGene00010001,WBGene00013947,WBGene00019789,WBGene00021043,WBGene00013216,WBGene00001762,WBGene00020242,WBGene00013896,WBGene00020658,WBGene00018400,WBGene00019090,WBGene00011583,WBGene00010904,WBGene00008862,WBGene00016505,WBGene00010184,WBGene00008032,WBGene00015076,WBGene00016511,WBGene00003647,WBGene00017315,WBGene00016863,WBGene00008477,WBGene00011561,WBGene00008519,WBGene00007694,WBGene00020153,WBGene00002270,WBGene00001752,WBGene00019963,WBGene00011328,WBGene00011232,WBGene00044658,WBGene00017127,WBGene00019006,WBGene00011522,WBGene00013480,WBGene00013489,WBGene00000677,WBGene00009396,WBGene00013215,WBGene00019622,WBGene00015059,WBGene00017961,WBGene00015332,WBGene00017166,WBGene00000673,WBGene00008415,WBGene00016677,WBGene00022191,WBGene00012457,WBGene00001955,WBGene00010585,WBGene00007989,WBGene00012987,WBGene00008810,WBGene00007322,WBGene00044167,WBGene00019232,WBGene00019961,WBGene00000073,WBGene00016283,WBGene00013577,WBGene00019290,WBGene00194695,WBGene00021183,WBGene00001075,WBGene00017964,WBGene00019738,WBGene00022445,WBGene00009840,WBGene00001157,WBGene00014309,WBGene00007340,WBGene00016657,WBGene00001068,WBGene00019885,WBGene00015223,WBGene00011539,WBGene00007142,WBGene00022440,WBGene00020407,WBGene00016325,WBGene00015597,WBGene00017654,WBGene00044712,WBGene00015043,WBGene00001772,WBGene00022544,WBGene00011817,WBGene00020397,WBGene00044811,WBGene00044737,WBGene00000618,WBGene00022562,WBGene00008335,WBGene00001433,WBGene00019780,WBGene00016766,WBGene00021745,WBGene00008797,WBGene00018643,WBGene00007899,WBGene00002267,WBGene00013633,WBGene00019203,WBGene00021772,WBGene00012176,WBGene00016419,WBGene00019476,WBGene00011362,WBGene00018602,WBGene00001500,WBGene00014000,WBGene00016984,WBGene00001753,WBGene00018519,WBGene00013884,WBGene00017529,WBGene00022546,WBGene00013181,WBGene00015435,WBGene00000273,WBGene00000217,WBGene00000714,WBGene00008040,WBGene00018195,WBGene00017374,WBGene00019854,WBGene00012535,WBGene00001787,WBGene00011832,WBGene00001520,WBGene00011293,WBGene00008515,WBGene00002268,WBGene00020511,WBGene00020976,WBGene00017840
clk-1,-1.829934712,-1.912575007,-1.163186169,-0.680113989,-1.051151701,-0.627234895,-0.449682603,-0.806330604,-2.100303334,-0.988286962,-1.01715151,-1.263802576,-0.741881815,-1.14471732,-1.231650499,-0.859075612,-1.565730097,-0.612664117,-0.825441279,-1.178597035,-1.214401565,-0.806781292,-1.23227588,-0.836982478,-0.848871443,-0.774100444,-0.419666664,-1.072726473,-0.629389166,-0.881027263,-0.608234855,0,0,-3.954073142,-4.411067606,-4.079812182,-2.253074895,-1.94094423,-2.550418214,-2.105501328,-2.312231116,-2.317526138,-1.461302676,-2.199857082,-1.203797097,-2.258267404,-1.105907196,-1.507650147,-1.61606358,-1.494350533,-1.594860378,-1.734252436,-1.237268594,-1.546953812,-1.30918228,-1.823747723,-1.074818725,-1.035167298,-1.22124286,-1.020560859,-1.139419062,-1.134136378,-1.885680105,-1.992867043,-0.845278919,-0.723477722,-1.01148165,-1.032097411,-0.986350554,-1.180043857,-1.262248301,-0.971429563,-1.426942528,-0.894484104,-1.341999681,-0.840884163,-1.25248052,-1.396876304,-1.434224366,-1.450205921,-0.734784737,-1.41063322,-0.902307135,-0.990092498,-1.159790605,-1.147990968,-1.289668429,-0.975368598,-0.556802312,-1.327109786,-0.710857742,-0.626438,-0.983954184,-1.214732246,-0.844402258,-0.838540548,-0.583782899,-1.057025563,-0.909196139,-0.698086115,-0.778108635,-0.732244358,-0.408209589,-0.856312442,-0.478158097,-0.594301064,-0.739612073,-0.884190058,-0.647217624,-0.971107828,-1.108777353,-0.621914452,-1.053470648,-0.884486948,-0.813084025,-0.965325467,-1.049233436,-0.438332717,-0.515347651,-0.329611907,-0.961178624,-1.039624541,-1.039501138,-1.010129747,-0.605527582,-0.801856573,-0.754051867,-0.828308627,-0.516647129,-0.430462273,-0.623091416,-0.772873681,-0.938512027,-0.833292621,-0.835030053,-0.904162097,-0.494662847,-0.881628945,-0.590584873,-0.579209902,-0.843380373,-0.847486847,-0.835614262,-0.846947268,-0.893363042,-0.90639829,-0.54335179,-0.302990147,-0.754024824,-0.383361337,-0.840356563,-0.647705954,-0.599896142,-0.590569286,-0.660072171,-0.746256519,-0.601478569,-0.830191376,-0.802243662,-0.702409817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daf-2,-3.981252803,-2.730733928,-0.976196982,-0.753810188,-1.457653089,-0.726937008,-0.606439566,-2.006213849,-2.19408797,-2.066361193,-1.077583088,-0.52294161,-0.973285425,-2.996606093,-1.237614104,-0.67690765,0,-0.625026838,-3.730592395,0,-2.722329966,-1.165053091,-3.077712095,-0.974430926,-0.845687837,-1.135966121,-0.381582623,-1.648432947,-1.154935275,-2.069969595,-1.172596175,-2.981542824,-0.808524441,-2.942738348,-3.041452304,-2.777893461,-1.234111108,-0.801568016,-2.303286059,-1.022848922,-1.402796038,-1.880353928,-1.342666752,-1.690789102,-0.679246015,-1.603054498,0,-2.61272994,0,-1.409390734,-0.888833498,-2.349665132,-2.642444401,-1.439314603,-0.779217396,0,-1.773065653,-1.491065308,0,-0.587070639,-1.312063018,-1.301910755,-4.210722942,-4.146602205,-0.65553911,-0.809968985,-0.879963062,0,-1.599382112,0,-2.672408755,-0.839563549,-3.388420394,0,-1.672384232,-0.430333604,-0.666828782,-2.01058981,-3.246141254,-2.221190859,0,-2.67488791,-1.117914927,0,-1.280816835,0,0,-1.91317703,-0.652307684,-2.375332601,0,-1.455410762,-1.813004009,0,-1.790054711,-1.634815846,-0.847390589,-1.172201612,0,0,0,-1.842865989,-0.477981464,-1.713944609,-0.704092871,-0.756414147,0,0,-0.658426828,-1.082978173,-3.205697206,-0.543005452,0,0,0,-1.173603727,0,-1.131671582,-0.670590537,-0.549182619,-1.447133061,-2.359666078,-5.278465036,-1.917836879,-1.900393648,0,-2.297199789,-1.374424771,-0.525749139,-0.592976923,-1.342012366,-1.201279751,-1.308248819,-2.068785067,-1.263227146,-2.420413459,0,-2.171554759,-0.708573062,0,-1.954926217,-1.109116165,-1.205685878,-1.145834683,0,-2.804794522,-1.465596172,-0.45029262,-1.160771112,0,-1.804425614,-0.626263736,-0.99412228,0,-1.759065353,-1.08239931,0,-1.36432491,0,-0.97802726,-0.86625009,-1.363628508,-0.919410839,-1.847496745,-1.833058172,-0.834937911,-1.074957761,-3.853203445,-2.252126828,-3.946823213,-0.841867189,-1.105728408,0,0,-0.703154386,-2.038801465,-2.353524237,-0.415645364,-1.372383278,-1.360993884,-1.228074188,-1.032074515,-1.60555153,-2.269789641,-0.851420961,-2.458845379,-0.91185927,-0.783601859,-0.376537201,0,0,-0.623602371,-0.373777927,0,0,-1.24254243
eat-2,-1.049663721,-0.570045193,0,-0.227773663,-0.562162676,-0.238617372,-0.238509778,-0.789198334,0,0,0,0,0,0,0,0,-0.823246609,0,0,0,0,0,0,-0.40364897,0,0,0,0,0,0,0,0,-0.449617155,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.460545051,0,0,0,0,0,0,0,0,0,0,0,-0.803716429,0,0,0,0,0,0,0,0,0,0,-0.380922597,0,0,0,0,0,0,0,0,0,0,-0.216992362,0,0,0,0,0,-1.427492359,0,0,0,0,0,0,0,0,0,0,0,-1.163281316,0,0,0,0,0,0,0,-0.502438364,-0.434580221,0,0,0,0,0,0,0,0,-1.229398795,0,0,0,0,0,0,0,0,-0.514725578,0,0,0,0,0,0,0,0,0,0,-0.426108499,0,0,-0.329094349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.450172968,0,-0.994991722,0,0,0,0,0,-0.730963772,0,0,0,0,0,0,0,0,-0.271249455,0,0,0,0,-0.95857684,0,-0.47355333,0,0,0,0,0,-0.848876874,-0.395029491,0,-0.343218277,-0.776749516,-0.215635724,-0.415431443,-0.24402573,-0.718561523,0
glp-1,-2.774267608,0,-1.567349833,-0.389414108,-1.051197636,-0.333516494,-0.52092514,-1.612231,0,-0.531188262,-0.959308116,-0.86767845,-0.399983704,-1.226658159,-0.852231162,-1.024529397,0,-0.492223303,-0.95494362,-0.995038597,-1.487587766,-0.46704689,-0.933497979,-0.901551823,-0.756993308,-0.655842257,-0.280510644,-2.005959405,-1.012308159,-2.024987788,-0.609734891,-3.055167983,-0.548314517,-2.87816288,-2.422730863,-0.911922472,-1.483695938,-1.407941088,-2.170133273,-1.828274776,-1.104663112,-1.037469807,0,-0.998050736,-0.390135421,-2.287526568,0,-2.895122745,0,0,-0.666788393,0,-1.384883451,-1.211224844,-0.426077063,-0.885448194,-1.079615312,-0.727483845,0,-0.453796775,0,0,-1.352496533,-2.642615602,-0.249418487,0,0,-2.517537933,0,0,-1.219347263,-0.595992036,-1.635437969,-0.628787289,-1.273702773,-0.394008492,-0.765051033,-0.608607216,-2.230285593,-1.680153025,-0.54737832,-0.746416854,-1.296604093,-0.598107809,-0.736470627,-0.647888015,0,-0.963489986,0,-1.711849306,-1.084137779,-1.109739155,0,-1.259286576,0,0,0,-1.252702128,0,-0.471392439,-0.617186827,-1.003496891,0,0,0,0,0,0,-0.468184585,-1.165465951,-1.613656267,0,-1.080311173,-0.579139864,0,0,0,0,-0.500153178,-0.138701751,-1.07774232,0,-2.285069591,-2.186367719,0,0,0,-1.22913024,-0.426796465,0,0,-1.08699582,-0.882601571,0,0,-1.964717182,-0.563096376,0,-1.014286718,0,-1.068768575,-0.739057263,0,0,-1.694384606,0,-0.917869416,0,-0.855157353,-0.642147745,-1.281798787,0,-0.475465869,0,-0.985218122,-0.753484904,0,-5.28722608,0,-1.338795509,-0.396629632,-0.817126254,-0.454088224,0,-1.110770798,-0.811101873,-0.746480093,-1.292359878,-0.869082593,-2.273917072,-0.488680049,-1.100584614,-0.6265501,-0.192161536,-0.838280854,0,-0.994650982,-0.996394064,-0.956918393,-0.538174816,-0.29708997,-0.372082001,-0.911741192,-1.239830299,-0.461453918,-1.102954302,-1.116012689,-0.504868058,-0.479823252,-0.56636639,-0.666798687,-0.644667153,-0.463659433,-0.878035545,0,-0.674562815
ife-2,-3.350919362,-2.130913416,-0.80420694,-1.241250258,-1.465740853,-1.413960623,-0.807408136,-2.068505624,-1.115648267,-1.770646702,-1.371784841,-1.077820035,-1.329029761,-0.665662239,-0.49871241,-1.164374322,-3.444723572,-1.519318086,-2.361112602,-1.019221614,-5.046498973,-0.760204536,-2.572099428,-1.409223233,-0.648737561,-0.536075865,-1.00578477,-0.93654449,-1.813740139,-0.465690419,-0.463293677,-1.995546351,-1.290755115,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.196232668,0,-0.707131317,-0.514009073,0,-0.714414708,-1.399174273,-0.838136012,0,-0.653843885,-0.862715768,-0.707480065,-2.184861314,0,-0.718975184,-0.673812361,0,0,-0.624020502,-0.977879541,-0.82042261,-0.847010947,-1.127295137,-0.723905843,0,-0.804966004,0,-1.634216878,-0.901229969,0,0,0,-0.869367123,0,-1.690539178,0,0,-0.450750442,-0.860289839,-1.888299547,-0.440470189,0,-1.116363412,0,-1.414639871,0,-0.472896914,-2.375510619,-1.870194919,-1.91369843,-1.725184693,-1.027465607,-2.622627171,-0.813047248,-0.587622699,0,-0.924589451,-1.962911997,-0.752272695,-0.836788906,-1.646769487,-1.856794007,-0.473620994,0,-1.100500909,-1.365434697,-0.861155279,-0.805134126,-0.914513423,-1.115270835,-1.879073301,-0.924614175,-1.208629509,-0.504397494,0,-0.771557246,0,0,-2.050362122,-1.715904952,-1.05767364,-1.118582695,-0.45690127,-1.157974766,-1.124763945,-0.648279608,0,-0.99239882,-0.569864997,-1.595811322,-1.720314815,-1.090491504,-0.701548745,-0.718906303,0,-0.797514259,-0.870739733,-2.100042297,-1.620910574,-1.584393149,-0.457435816,-1.128992533,0,-1.529949314,0,-1.757744931,-0.500254968,-2.28037011,-0.871352274,-0.729963169,-1.114538514,0,-4.138370902,0,-1.137308789,-1.803220064,-1.397593077,-1.029822804,-1.093876619,-1.266231862,-1.390856276,-0.501182944,-1.346791227,-1.196437504,-0.838044292,-1.158742002,-1.352393199,-1.23762634,-0.847282292,-1.320164941,-1.553342462,-1.502356151,-1.52206293,-1.137879279,-1.439028543,-1.38430753,-1.013038985,-1.637978664,-1.316258433,-0.993289269,-2.27177689,-1.404586083,-1.202371792,-1.146439774,-1.524395964,-1.483270911,-1.473366331,-0.952895604,-1.94716876,-1.139224374
isp-1,-1.740027501,-2.171643756,-2.043168907,-0.69250923,-1.846817061,-0.797740632,-0.614204923,-1.249577491,-1.3371369,-0.380382818,-0.858152285,-1.456093091,-0.46748589,-1.704658616,-1.055414446,-0.853502282,-3.95478875,-0.665743733,-3.348256621,-1.137135452,-3.286283763,-1.270956505,-2.102823768,0,-1.507691519,-1.141109121,-0.268006669,-0.924222669,-0.427795986,-2.162914572,-1.239558693,-2.4684222,-0.340943158,-4.351679572,-6.022471903,-5.688781507,-2.208947206,-2.434784827,-3.457571254,-2.309223284,-2.683426673,-2.933706448,-1.078910958,-4.118656873,-1.393509099,-3.434695209,-0.701581686,-2.214743377,-1.579689961,-2.188024357,-2.299187593,-1.130683348,-1.248380107,-0.675327833,-1.498057246,-1.878476728,-0.569280276,-0.94121994,-1.263327251,-0.935553411,-1.670251202,-1.550511664,-3.574748753,-1.210502673,-0.497432846,-0.444924016,-1.439294143,-1.113460914,-0.533657866,-2.015037831,-5.257120733,-0.427483975,-1.582286328,-0.557470835,-1.247075027,-0.744321003,-1.820460154,-1.643503329,-2.146081181,-4.509610171,0,-2.176429752,-1.059427914,-1.173963859,-0.871253542,-1.926993987,-1.825471146,-1.449570522,-0.518064665,-1.19624346,-0.404760834,-0.541054645,-0.694156332,-1.815820618,-1.057412881,-1.095881565,-0.873146241,-0.933978615,-1.165578436,-0.640122416,-0.711981018,-0.711999888,-0.27452693,-1.114549241,-0.729193705,-0.513182217,-0.656609008,-0.959902967,-0.681277843,-2.06131118,-1.134568072,-0.772646077,-2.63443513,-0.92787949,-0.672650367,-1.404674622,-1.718983343,-0.522227792,0,-0.374091574,-0.808248448,-1.700201443,-2.972014875,-2.565850133,-0.56120055,-1.130579027,-0.849370252,-1.45210547,-0.602834836,-0.518314359,-0.586147906,-0.915387,-1.183085366,-1.688621451,-1.7576775,-1.389110739,0,-1.092447556,-0.772675331,-0.419909623,-1.853243748,-0.954141407,-1.356762332,-0.755810781,-0.993860146,-1.633669126,-0.637458207,-0.390001864,-1.600390783,-0.292848778,-1.603200688,-0.83781652,-0.926174865,-1.09002469,-1.328143514,-0.934205527,-0.522350409,-1.370367688,-2.302433392,-1.097518441,-0.378769792,-0.847180671,-0.681012344,-1.562329964,-1.08335275,-0.29966552,-0.887372901,-2.271340802,-1.161306092,-2.686733303,-0.582485805,-0.751521922,-0.70414835,-0.246092715,-0.813543485,-1.36094883,-1.215218463,-0.463293418,-1.019336804,-0.278920035,-0.248441975,-0.785090743,-0.744293396,-1.057274396,-0.301996934,-0.783052027,0,-0.408571534,-0.65516305,-0.307052763,-1.224182569,0,-0.405977429,-0.256342422,-2.862462393,-0.444792637
nuo-6,-1.324658286,-2.387576746,-2.013570554,-1.150716398,-2.106597679,-1.324113856,-0.872451905,-2.215649574,-1.674014627,-1.3562384,-1.361428973,-1.141942861,-0.899375662,-2.036544205,-1.489341255,-1.366906538,-1.755856384,-0.87465988,-3.241899691,-1.125789849,-2.852316157,-1.563000784,-3.094338566,-0.58662615,-1.755204398,-1.365818768,-0.459905105,-1.906297184,-1.042739904,-2.018047194,-1.158390168,-3.858002462,-0.659360937,-4.431356422,-6.19721823,-6.959800645,-2.179285769,-2.614499239,-3.906599116,-2.353010953,-2.694627556,-2.834149759,-0.601820427,-4.854442858,-1.684082106,-6.286628828,-0.756960433,-2.986774569,-1.928774211,-2.755518371,-3.163374731,-1.760366894,-1.97366825,-1.305365133,-1.787065214,-2.262298957,-1.143255549,-0.976121327,-0.852716523,-0.975889152,-1.872518023,-1.120287364,-3.997116945,-1.720230353,-0.613871277,-0.879131016,-1.47212903,-1.154652098,-1.127684491,-2.111144256,-6.768585517,-0.838396983,-1.851711624,-1.010155082,0,-0.866601381,-1.563597199,-1.258094222,-3.102640347,-4.465748804,-0.887130982,-1.487238629,-1.822830429,-1.493300156,-1.351916992,-2.302538543,-1.413620759,-0.718526957,-0.638083241,-1.993390125,-0.735612568,-0.538930733,-0.698475998,-1.89751588,-1.575345359,-1.613481325,-0.892928158,-1.331231007,-0.739029262,-1.017514776,-1.070987358,-0.940921115,-0.416381673,-1.585864055,-0.912431997,-0.68397277,-1.001423505,-1.026559414,-0.798581039,-1.969724591,-1.019276627,-1.017256285,-2.918933035,-1.291636459,-0.693725131,-1.558667928,-1.538173085,-0.577911821,-0.696633373,-0.787406886,-1.837495494,-2.444046245,-1.712072599,-1.292943667,-0.638620483,-0.66435798,-0.814835667,-2.012223841,-0.653850986,-0.668926589,-0.696666525,-0.768784971,-0.826337041,-2.16847186,-2.65247444,-2.243785568,-0.380099105,-0.877214546,-1.249344887,-0.849355568,-3.084671574,-1.575543382,-1.339779066,-1.134648969,-1.648927869,-1.199126811,-0.900035094,-0.424285736,-2.745339587,-0.634105634,-1.063004538,-1.10920148,-1.022154472,-1.215375867,-1.165219627,-1.504247814,-0.694082042,-2.57802758,-2.538205633,-1.399990866,-0.497187667,-1.235027348,-0.84179561,-1.496956646,0,-0.470220873,-1.477956904,-2.327668201,-1.690281071,-2.575729551,-0.698126884,-0.870045972,-1.380453479,-0.756718827,-0.525442801,-1.788129198,-2.298131195,-0.405958473,0,-0.719777132,0,-0.517618528,-0.60371438,-1.307865511,-0.521976344,-1.163067218,-0.816982597,-0.761957,-0.41537729,-0.773468514,-0.699000536,-0.907114391,0,-0.676364344,-1.232023703,-0.996537478
osm-5,-2.448865891,-1.214485789,-0.506202527,-0.385469411,0,-0.584379128,-0.14353968,0,-0.266699478,-0.646856765,-0.782215383,0,-0.522792647,0,0,-0.366678101,-1.848001886,-0.757564092,-1.286202256,-0.590945714,-4.17042599,0,-0.528270987,-0.496682157,0,0,-0.455191201,0,-0.520711804,0,0,-0.79841782,-0.37159109,0,0,0,0,0,0,0,0,0,-0.237426159,0,0,0,-0.677583194,0,-0.469484441,0,0,0,0,0,0,0,0,0,-1.030183549,0,0,0,0,0,0,-0.448731692,-0.612336612,0,-0.62094182,0,0,0,0,-0.856341291,0,0,0,0,0,0,-0.838491928,0,0,0,0,-0.878953055,0,0,-0.383030503,0,-0.564402422,-0.238675799,0,-1.777175147,-1.143323324,-1.255938349,-0.815958741,0,-1.746246505,-0.241688496,0,0,-0.455575043,-1.248980718,-0.415659545,-0.331901848,-0.945254362,-1.18548506,0,0,0,-0.476594028,0,0,-0.475042221,-0.585836037,-0.739337155,-0.425348713,-0.535309606,0,0,0,0,0,-1.087470863,-0.385266489,-0.398983686,0,0,-0.322063587,-0.328189573,0,0,-0.526689756,0,0,-0.880782181,-0.517736243,0,-0.648294517,0,0,0,-1.202093318,-0.853791273,-1.505189261,0,-0.794554178,0,-0.54476225,0,-0.347941081,0,-1.529192713,0,0,-0.766969753,0,-3.505759336,0,-0.202446613,-1.299087011,-0.55972244,-0.39674835,0,-0.384089804,-0.549842823,0,-0.588809761,0,-0.371945896,-0.493178123,-0.551415279,-0.259794869,-0.292150193,-0.933883195,-1.239491988,-0.439840729,-0.966480776,-0.161095927,-0.686114296,-0.37567578,-0.213221429,-0.49653523,-0.351079464,-0.351182102,-1.230422509,0,-0.451133255,-0.452203336,-1.038200444,-0.39137664,-0.501857104,-0.137853169,-1.099115178,-0.30017151
sod-2,-1.129674261,-1.232780329,-0.914539322,0,-1.001781976,0,0,-0.896052466,-1.139442974,0,0,-0.774859641,0,-0.73752058,-0.899174601,0,-1.766620385,0,0,-1.025745455,0,-0.79275823,0,0,-0.841749297,-0.772740162,0,-1.095366991,0,-1.064283729,-0.925293975,-0.800528313,0,-1.68156175,-0.87612294,-1.852101136,-1.195329988,-0.909075312,-1.165150306,-1.246558561,-1.157682299,-1.337120241,-1.208124316,-1.968460066,-0.847018631,-1.982134029,0,-1.013722869,-0.863838011,-1.179702599,-1.329133935,-0.75420271,0,0,-0.677141808,-1.463958801,0,0,0,-0.550670822,-0.526125151,-0.706317584,-1.240147605,-2.04655493,0,0,0,-0.855656229,0,-0.980810376,-1.492224837,0,-2.066872879,0,-0.851311841,-0.558246335,-0.807752884,-0.863216875,0,-0.97868643,0,-1.784903338,-0.932372197,-0.570549781,0,0,-0.970486515,-1.01049569,0,-1.170508394,0,0,-0.905666842,0,0,0,0,0,0,0,-0.647414558,-0.793446781,0,0,0,0,0,0,0,-1.483692021,0,0,-1.391484748,-1.045386743,-0.850218861,0,0,0,0,0,-0.977623252,-1.00959251,-1.077962711,-0.901788388,0,0,0,0,0,0,0,0,-1.342230885,0,-0.776659305,0,0,0,0,0,-1.14948923,0,-0.851851267,0,0,0,0,0,-0.843801551,0,-0.988652735,0,0,-0.988599573,0,0,0,-1.015791751,0,-0.831629435,0,0,0,-1.006193664,-0.936858144,0,0,-1.516277755,0,-1.064368592,0,0,-0.605199503,0,0,-0.939250161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.882464858,0
