Mutant,clk-1,daf-2,glp-1,ife-2,isp-1,nuo-6,osm-5,sod-2,eat-2
WBGene00194695,1,1,0,1,1,1,0,1,0
WBGene00021183,1,1,1,0,1,1,0,1,0
WBGene00001075,1,1,1,0,1,1,0,1,0
WBGene00017964,1,1,0,1,1,1,1,0,0
WBGene00019738,1,0,0,1,1,1,1,0,1
WBGene00022445,1,1,0,1,1,1,1,0,0
WBGene00009840,1,1,1,1,1,1,0,0,0
WBGene00001157,1,1,1,1,1,1,0,0,0
WBGene00014309,1,1,0,1,1,1,1,0,0
WBGene00007340,1,1,0,1,1,1,1,0,0
WBGene00016657,1,1,1,1,1,1,0,0,0
WBGene00001068,1,1,1,0,1,1,0,1,0
WBGene00019885,1,1,0,1,1,1,1,0,0
WBGene00015223,1,1,0,1,1,1,0,1,0
WBGene00011539,1,1,1,1,1,1,0,0,0
WBGene00007142,1,0,1,1,0,1,1,0,1
WBGene00022440,1,1,0,1,1,1,1,0,0
WBGene00020407,1,1,1,1,1,1,0,0,0
WBGene00016325,1,0,0,1,1,1,1,0,1
WBGene00015597,1,1,1,0,1,1,0,1,0
WBGene00017654,1,1,1,1,1,1,0,0,0
WBGene00044712,1,1,0,1,1,1,0,1,0
WBGene00015043,1,1,0,1,1,1,1,0,0
WBGene00001772,1,0,1,1,1,1,1,0,0
WBGene00022544,1,1,0,1,1,1,1,0,0
WBGene00011817,1,1,1,1,1,1,0,0,0
WBGene00020397,1,1,0,1,1,1,1,0,0
WBGene00044811,1,1,1,0,1,1,0,1,0
WBGene00044737,1,0,1,1,1,1,1,0,0
WBGene00000618,1,1,1,0,1,1,0,1,0
WBGene00022562,1,1,0,1,1,1,1,0,0
WBGene00008335,1,1,1,1,1,1,0,0,0
WBGene00001433,1,0,0,1,1,1,1,1,0
WBGene00019780,1,1,1,1,1,1,0,0,0
WBGene00016766,1,1,1,1,1,1,0,0,0
WBGene00021745,1,0,0,1,1,1,1,0,1
WBGene00008797,1,1,1,0,1,1,0,1,0
WBGene00018643,1,0,0,1,1,1,1,0,1
WBGene00007899,1,1,1,0,1,1,0,1,0
WBGene00002267,0,1,1,1,1,1,1,0,0
WBGene00013633,0,1,1,1,1,1,1,0,0
WBGene00019203,0,1,1,1,1,1,1,0,0
WBGene00021772,0,1,0,1,1,1,1,1,0
WBGene00012176,0,1,1,1,1,0,0,1,1
WBGene00016419,0,1,1,1,1,1,1,0,0
WBGene00019476,0,1,1,1,1,1,1,0,0
WBGene00011362,0,1,1,1,1,1,0,1,0
WBGene00018602,0,1,1,1,1,1,1,0,0
WBGene00001500,0,1,1,1,1,1,0,1,0
WBGene00014000,0,1,1,1,1,1,1,0,0
WBGene00016984,0,1,1,1,1,1,1,0,0
WBGene00001753,0,0,1,1,1,1,1,1,0
WBGene00018519,0,0,1,1,1,1,1,0,1
WBGene00013884,0,1,1,1,1,1,1,0,0
WBGene00017529,0,1,0,1,1,1,1,1,0
WBGene00022546,0,1,1,1,1,1,1,0,0
WBGene00013181,0,1,1,1,1,1,1,0,0
WBGene00015435,0,1,1,1,1,0,1,0,1
WBGene00000273,0,1,1,1,1,1,1,0,0
WBGene00000217,0,1,1,1,1,0,1,0,1
WBGene00000714,0,1,1,1,1,1,1,0,0
WBGene00008040,0,1,1,1,1,1,1,0,0
WBGene00018195,0,1,1,1,1,1,1,0,0
WBGene00017374,0,1,1,1,1,1,1,0,0
WBGene00019854,0,1,1,1,1,1,1,0,0
WBGene00012535,0,1,1,1,0,1,1,0,1
WBGene00001787,0,1,1,1,1,1,0,0,1
WBGene00011832,0,1,1,1,1,1,1,0,0
WBGene00001520,0,0,1,1,1,1,1,0,1
WBGene00011293,0,0,1,1,1,1,1,0,1
WBGene00008515,0,1,1,1,0,1,1,0,1
WBGene00002268,0,1,1,1,1,0,1,0,1
WBGene00020511,0,0,1,1,1,1,1,0,1
WBGene00020976,0,0,0,1,1,1,1,1,1
WBGene00017840,0,1,1,1,1,1,1,0,0
